lna,a,A,omega,h,h2
-6.452842641886891,0.0015760356899635747,0.9999272028288841,-1.0650929509151035,9766.444441801725,95383437.0347998
-6.449849720799137,0.0015807597061927034,0.9999268757363877,-1.0647178360999878,9720.427310551528,94486707.09971601
-6.446856798829203,0.0015854978836073112,0.9999265470784273,-1.0651654824265264,9674.632697627903,93598517.83401096
-6.443863875979037,0.0015902502646594826,0.9999262166488478,-1.0660137671315357,9629.05948846667,92718786.63243
-6.440870952250485,0.0015950168919287233,0.999925884413205,-1.0666217240672122,9583.706575019238,91847431.71606697
-6.437878027645269,0.0015997978081223748,0.9999255505217389,-1.066504236490974,9538.572855764893,90984372.12473482
-6.434885102165035,0.001604593056075925,0.9999252152157702,-1.065604591638893,9493.657235293442,90129527.70123951
-6.4318921758114485,0.0016094026787532418,0.9999248786838848,-1.0643134901294273,9448.958623692977,89282819.07226188
-6.428899248586266,0.0016142267192468386,0.9999245409513247,-1.0632334665032817,9404.475936079816,88444167.63230434
-6.425906320491361,0.0016190652207782167,0.9999242018646776,-1.0628317064831105,9360.20809251453,87613495.53517447
-6.422913391528678,0.0016239182266983268,0.9999238611781406,-1.0631811051321933,9316.154018321124,86790725.69308081
-6.419920461700148,0.0016287857804880934,0.999923518690088,-1.0639315267184377,9272.31264459895,85975781.77918956
-6.416927531007609,0.0016336679257589284,0.9999231743518431,-1.0645185776099968,9228.682908616951,85168588.22779863
-6.413934599452784,0.0016385647062531685,0.9999228282883796,-1.0644845274215906,9185.2637538569,84369070.22791734
-6.41094166703732,0.0016434761658443988,0.9999224807216059,-1.0637289620425012,9142.054129676637,83577153.70993765
-6.407948733762868,0.0016484023485377208,0.999922131841359,-1.062553256717821,9099.052990775766,82792765.32894541
-6.404955799631159,0.001653343298470021,0.9999217816969158,-1.0614822676184807,9056.259296748844,82015832.44994986
-6.401962864644029,0.0016582990599103141,0.9999214301683924,-1.0609695882294536,9013.67201195258,81246283.13905726
-6.398969928803394,0.001663269677260193,0.9999210770317566,-1.0611518932533537,8971.290105732845,80484046.16122004
-6.395976992111169,0.0016682551950543468,0.9999207220794931,-1.061784261113068,8929.112552859839,79729050.98163915
-6.392984054569198,0.001673255657961084,0.9999203652296715,-1.0623846964310562,8887.138333911751,78981227.76608373
-6.389991116179217,0.0016782711107827949,0.9999200065643951,-1.0625018029867652,8845.366435385224,78240507.3762395
-6.386998176942877,0.0016833015984563128,0.9999196462785668,-1.0619567866808926,8803.795849466422,77506821.35908219
-6.3840052368618165,0.0016883471660532074,0.9999192845688641,-1.060930950573739,8762.425573581533,76780101.93255566
-6.381012295937725,0.0016934078587800669,0.9999189215241042,-1.0598578231433566,8721.254609959502,76060281.97173986
-6.378019354172395,0.0016984837219788254,0.9999185570756738,-1.0591847803605248,8680.281965424676,75347294.99927688
-6.375026411567699,0.001703574801127196,0.9999181910329665,-1.0591355032769516,8639.506651506706,74641075.18142863
-6.372033468125538,0.0017086811418391742,0.9999178231828787,-1.0595986981890713,8598.927684784298,73941557.32814984
-6.369040523847766,0.0017138027898655676,0.999917453399094,-1.0601968592731053,8558.544087258875,73248676.89355385
-6.366047578736143,0.0017189397910944897,0.9999170817032734,-1.06049221652206,8518.35488654637,72562369.97314844
-6.363054632792336,0.00172409219155177,0.9999167082471914,-1.0602171068225632,8478.359115778201,71882573.29609932
-6.360061686017971,0.0017292600374012848,0.9999163332271358,-1.0594079741868263,8438.55581325837,71209224.21347663
-6.357068738414701,0.0017344433749452491,0.9999159567768937,-1.05837720942484,8398.94402204887,70542260.68551046
