z_lo,z_hi,label,N,mean_resid,rms_resid,expected_rms,ratio_rms_to_expected,chi2_per_sn,sigma_chi2,excess_sigma,catalog,cosmology
0.4,0.5,0.40-0.50,98,0.002889714976665454,0.1423058311698761,0.16788138365998725,0.8476570067952877,0.8253734381209042,0.14285714285714285,-1.2223859331536704,Pantheon+,LCDM reference
0.5,0.6,0.50-0.60,81,-0.04464132976937265,0.1467929190850748,0.18371194172090227,0.7990385258029913,0.7361699963966778,0.15713484026367722,-1.6790038616554237,Pantheon+,LCDM reference
0.6,0.7,0.60-0.70,54,-0.029785305732755656,0.14076808725470266,0.2087766589763648,0.6742520353802517,0.4662763702251155,0.19245008972987526,-2.7733093319105437,Pantheon+,LCDM reference
0.7,0.8,0.70-0.80,45,-0.06471836634258506,0.15920042571822243,0.1979153870835829,0.8043862989338444,0.6586407433028854,0.21081851067789195,-1.6192091273174534,Pantheon+,LCDM reference
0.8,0.9,0.80-0.90,3,-0.1426165018767889,0.20761915730861957,0.22031452516799702,0.9423761649410233,0.8250868187098214,0.816496580927726,-0.21422402172393354,Pantheon+,LCDM reference
0.9,1.0,0.90-1.00,2,-0.03991075746211592,0.23857991774447718,0.1595488639884346,1.4953407487863493,2.173907994610235,1.0,1.1739079946102349,Pantheon+,LCDM reference
1.0,1.5,1.00-1.50,18,0.0712812385474704,0.23854236875144968,0.2801745348885227,0.8514063165889155,0.8389830473844674,0.3333333333333333,-0.48305085784659785,Pantheon+,LCDM reference
1.5,2.5,1.50-2.50,7,-0.06720750493789854,0.1393329089726252,0.2361528832890132,0.5900114664367833,0.35306042102291,0.5345224838248488,-1.210313127238026,Pantheon+,LCDM reference
0.0,0.1,0.00-0.10,201,0.02554081561652923,0.12721900348805093,0.12347433938099098,1.0303274682483254,1.283384944101755,0.09975093361076329,2.840925230911096,DES,LCDM reference
0.1,0.2,0.10-0.20,44,0.17527607220152602,0.5946473611664942,0.15380831735105754,3.8661586798927785,10.335197161811827,0.21320071635561044,43.78595588882114,DES,LCDM reference
0.2,0.28,0.20-0.28,119,0.039945044682330566,0.3175368084456621,0.15888783814403176,1.9984966260149826,2.5273540728344943,0.12964074471043288,11.781435506607206,DES,LCDM reference
0.28,0.32,0.28-0.32 *TRANSITION*,82,0.1160499498690007,0.49955210219823953,0.17350533480938582,2.879174307505017,4.997399060047102,0.15617376188860607,25.595842808078885,DES,LCDM reference
0.32,0.4,0.32-0.40,239,0.042298978271996475,0.32843776233955974,0.18281191142994335,1.7965884157686447,2.415658940291694,0.09147787074926965,15.475425135023668,DES,LCDM reference
0.4,0.5,0.40-0.50,273,0.02795156368807839,0.20972235923503155,0.19268602515424826,1.0884149956757134,1.0579023262914713,0.08559209850218258,0.67649149050826,DES,LCDM reference
0.5,0.6,0.50-0.60,310,0.0073708161769247,0.2083288467666391,0.18213649777021626,1.1438061526222336,1.2737943250277204,0.08032193289024989,3.4087118570942123,DES,LCDM reference
0.6,0.7,0.60-0.70,295,0.03197381886398625,0.23967028465652018,0.17915264638508596,1.3377992984895821,1.8313535579578903,0.08233869695926183,10.09675387951808,DES,LCDM reference
0.7,0.8,0.70-0.80,127,-0.005911552031478901,0.16583038590881763,0.19691052363874573,0.8421611138115296,0.8615226275570256,0.12549116102763172,-1.103483076489214,DES,LCDM reference
0.8,0.9,0.80-0.90,80,0.007989555221688956,0.1980105256391208,0.22923415514218207,0.8637915476265094,1.0015468055975725,0.15811388300841897,0.009782857571653682,DES,LCDM reference
0.9,1.0,0.90-1.00,33,0.04051350368353479,0.24729862722614243,0.2026905910868867,1.2200794615085697,1.4035739713234971,0.24618298195866548,1.6393252210717713,DES,LCDM reference
1.0,1.5,1.00-1.50,17,-0.04872586475385319,0.1704529943446927,0.17635131052399186,0.9665536016615157,1.3607221142517825,0.3429971702850177,1.051676647804517,DES,LCDM reference
1.5,2.5,1.50-2.50,0,,,,,,,,DES,LCDM reference
0.0,0.1,0.00-0.10,819,0.02544783156312272,0.16227144749223307,0.16902289825293418,0.9600559993321266,1.0398254544425203,0.04941662111074008,0.8059121313307421,Pantheon+ + DES,LCDM reference
0.1,0.2,0.10-0.20,251,0.041337545403568834,0.28026477701119834,0.14771498443655484,1.8973347767001596,2.6301797503270308,0.08926436853549036,18.262379234541857,Pantheon+ + DES,LCDM reference
0.2,0.28,0.20-0.28,330,0.013021338411715173,0.22315253010840225,0.15666371955416306,1.4244046467392353,1.446019422590419,0.0778498944161523,5.729223217775861,Pantheon+ + DES,LCDM reference
0.28,0.32,0.28-0.32 *TRANSITION*,181,0.061574293445923654,0.35451398220221797,0.16805453927600622,2.1095174443338185,2.7231703850605866,0.10511766624552733,16.39277627259829,Pantheon+ + DES,LCDM reference
0.32,0.4,0.32-0.40,374,0.025520199510252122,0.27350941870136114,0.17377856227053104,1.5738961994378418,1.8202877140234097,0.07312724241271307,11.217265781661744,Pantheon+ + DES,LCDM reference
0.4,0.5,0.40-0.50,371,0.021331452707705163,0.19420221637342047,0.18645483509035488,1.0415509808544856,0.9964796011143404,0.07342230982143523,-0.0479472641792566,Pantheon+ + DES,LCDM reference
0.5,0.6,0.50-0.60,391,-0.0034040785076023703,0.19716457256006045,0.18246398561509972,1.080567060373059,1.1624194641092693,0.07151985398521515,2.270970297881834,Pantheon+ + DES,LCDM reference
0.6,0.7,0.60-0.70,349,0.022417965774519023,0.22720041336937066,0.18404837954433065,1.2344602757811636,1.6201381764748821,0.07570111641044645,8.191929074236288,Pantheon+ + DES,LCDM reference
0.7,0.8,0.70-0.80,172,-0.021297055775663647,0.16412167467386357,0.19717391860463435,0.8323701016611336,0.8084430648161167,0.10783277320343841,-1.7764259370617317,Pantheon+ + DES,LCDM reference
0.8,0.9,0.80-0.90,83,0.00254596279644277,0.19836593313463546,0.22891781291257063,0.8665377788245614,0.9951687337823525,0.1552301051412666,-0.031123255461631208,Pantheon+ + DES,LCDM reference
0.9,1.0,0.90-1.00,35,0.03591783161806903,0.246808712408373,0.20047560440113404,1.2311159412420598,1.4475930583684533,0.23904572186687872,1.872416100455091,Pantheon+ + DES,LCDM reference
1.0,1.5,1.00-1.50,35,0.012992074086827522,0.20826947559010234,0.23553320665490643,0.8842467631124736,1.0923991655771634,0.23904572186687872,0.38653344161758,Pantheon+ + DES,LCDM reference
1.5,2.5,1.50-2.50,7,-0.06720750493789854,0.1393329089726252,0.2361528832890132,0.5900114664367833,0.35306042102291,0.5345224838248488,-1.210313127238026,Pantheon+ + DES,LCDM reference
