body,r_m,r_body_radii,A_Rs_over_r,grad_A_abs,g_from_STAM_gradient_m_s2,g_newton_m_s2,ratio_STAM_to_newton,relative_error_STAM_vs_newton
Earth,9707772.705872266,1.5237439500662793,9.137114290367083e-10,9.412163394431361e-17,4.229615296931145,4.2296152969311445,1.0000000000000002,2.0999035546910267e-16
Earth,9733440.707854543,1.527772831243846,9.113018857440864e-10,9.362587322370989e-17,4.2073369211783005,4.2073369211783,1.0000000000000002,2.1110228069193554e-16
Earth,9759176.577755213,1.5318123650534001,9.088986966445876e-10,9.313272379109372e-17,4.185175890855556,4.185175890855555,1.0000000000000002,2.1222009369803555e-16
Earth,9784980.4950216,1.5358625796612149,9.065018449816051e-10,9.264217189219896e-17,4.163131587877013,4.163131587877012,1.0000000000000002,2.1334382566395209e-16
Earth,9810852.639575504,1.539923503308037,9.041113140427204e-10,9.21542038452062e-17,4.141203397412371,4.141203397412371,1.0,0.0
Earth,9836793.191814428,1.5439951643092809,9.01727087159589e-10,9.166880604036187e-17,4.119390707869805,4.119390707869805,1.0,0.0
Earth,9862802.332612915,1.548077591055237,8.993491477078175e-10,9.118596493959709e-17,4.0976929108788385,4.097692910878838,1.0000000000000002,2.1675084956760132e-16
Earth,9888880.2433237,1.5521708120112543,8.969774791068575e-10,9.070566707615209e-17,4.076109401273467,4.076109401273467,1.0,0.0
Earth,9915027.10577904,1.556274855717947,8.946120648198834e-10,9.022789905419953e-17,4.054639577075232,4.054639577075232,1.0,0.0
Earth,9941243.102291971,1.560389750791394,8.92252888353679e-10,8.975264754847093e-17,4.033282839476429,4.033282839476429,1.0,0.0
Earth,9967528.41565756,1.5645155259233339,8.898999332585236e-10,8.927989930388545e-17,4.012038592823432,4.012038592823432,1.0,0.0
Earth,9993883.229154248,1.5686522098813762,8.875531831280713e-10,8.880964113517887e-17,3.9909062446000156,3.990906244600015,1.0000000000000002,1.1127528000712807e-16
