x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_earth,A_moon,A_total,log10_A_total,toy_SU_density,gradient_magnitude,gradient_unit_x,gradient_unit_y
162021603.5634744,162630769.23076928,0.4214922048997773,0.4230769230769232,3.863886036207679e-11,3.9580855651774836e-13,3.903466891859454e-11,-10.408549499850906,4.903466891859454,1.6810091060167914e-19,-0.6997687106844276,-0.7143694783143062
165874164.81069043,162630769.23076928,0.4315144766146994,0.4230769230769232,3.818392699730011e-11,4.0031327061191213e-13,3.858424026791202e-11,-10.413590046682703,4.8584240267912016,1.6415135644276335e-19,-0.707834028157459,-0.7063787854843785
169726726.05790648,162630769.23076928,0.4415367483296214,0.4230769230769232,3.773455350607847e-11,4.0489249872106486e-13,3.8139446004799535e-11,-10.41862561959641,4.813944600479953,1.6029613259506265e-19,-0.715601910982807,-0.6985083428261645
173579287.3051225,162630769.23076928,0.45155902004454346,0.4230769230769232,3.7290894718005955e-11,4.095467881508144e-13,3.770044150615677e-11,-10.423653563784528,4.770044150615677,1.5653488455281238e-19,-0.7230822838550737,-0.6907619059957857
177431848.55233854,162630769.23076928,0.4615812917594655,0.4230769230769232,3.685307990208654e-11,4.142765877845378e-13,3.726735648987108e-11,-10.428671412252305,4.726735648987108,1.528670080789943e-19,-0.7302848195257593,-0.6831427979348309
181284409.7995546,162630769.23076928,0.4716035634743876,0.4230769230769232,3.6421214826006014e-11,4.1908223585657226e-13,3.6840297061862585e-11,-10.433676876526015,4.684029706186259,1.4929168076529662e-19,-0.7372189259572185,-0.6756539463441957
185136971.04677063,162630769.23076928,0.4816258351893097,0.4230769230769232,3.5995383708946837e-11,4.2396394670081466e-13,3.641934765564765e-11,-10.438667837566081,4.641934765564765,1.4580789107135186e-19,-0.7438937368078163,-0.6682979188491486
188989532.29398668,162630769.23076928,0.4916481069042317,0.4230769230769232,3.557565106620227e-11,4.289217964187632e-13,3.600457286262103e-11,-10.443642336930472,4.6004572862621025,1.424144649371489e-19,-0.7503181049125476,-0.6610769557626731
192842093.54120266,162630769.23076928,0.5016703786191536,0.4230769230769232,3.5162063445372614e-11,4.3395570741287225e-13,3.559601915278549e-11,-10.448598568225092,4.559601915278549,1.3911009007731674e-19,-0.7565005984525883,-0.6539930003760559
196694654.7884187,162630769.23076928,0.5116926503340757,0.4230769230769232,3.475465105517899e-11,4.3906543173415254e-13,3.519371648691314e-11,-10.45353486887004,4.5193716486913145,1.3589333807627917e-19,-0.762449499537302,-0.6470477267213894
200547216.03563476,162630769.23076928,0.5217149220489978,0.4230769230769232,3.435342928894146e-11,4.4425053319747473e-13,3.479767982213894e-11,-10.458449712203826,4.479767982213893,1.3276268440938002e-19,-0.7681728049515295,-0.6402425647619028
204399777.2828508,162630769.23076928,0.5317371937639199,0.4230769230769232,3.395840014556792e-11,4.4951036822429696e-13,3.4407910513792215e-11,-10.46334169994178,4.440791051379222,1.29716526517999e-19,-0.7736782288498096,-0.6335787229727824
208252338.53006685,162630769.23076928,0.5417594654788419,0.4230769230769232,3.356955355151706e-11,4.548440653808344e-13,3.402439761689789e-11,-10.468209554999662,4.40243976168979,1.2675320006660906e-19,-0.7789732072055094,-0.6270572082800441
212104899.7772829,162630769.23076928,0.551781737193764,0.4230769230769232,3.31868685876587e-11,4.602505035903457e-13,3.3647119091249045e-11,-10.473052114689185,4.364711909124905,1.238709935080517e-19,-0.7840649038494356,-0.6206788433252541
215957461.02449888,162630769.23076928,0.561804008908686,0.4230769230769232,3.281031462528062e-11,4.657282890115916e-13,3.327604291429221e-11,-10.477868324288316,4.327604291429221,1.2106816107909672e-19,-0.7889602179563292,-0.61444428102335
219810022.27171493,162630769.23076928,0.5718262806236081,0.4230769230769232,3.2439852375704896e-11,4.712757305919958e-13,3.2911128106296894e-11,-10.482657230986,4.29111281062969,1.183429343436649e-19,-0.793665792858753,-0.6083540163801721
223662583.51893097,162630769.23076928,0.5818485523385301,0.4230769230769232,3.2075434858096845e-11,4.768908143240181e-13,3.255232567242086e-11,-10.487417978198154,4.255232567242086,1.1569353239482186e-19,-0.7981880260892308,-0.6024083955322813
227515144.76614702,162630769.23076928,0.5918708240534521,0.4230769230769232,3.17170082900921e-11,4.825711762571332e-13,3.219957946634923e-11,-10.492149800249406,4.219957946634922,1.1311817081992551e-19,-0.8025330805677234,-0.5966076219714929
231367706.01336306,162630769.23076928,0.6018930957683742,0.4230769230769232,3.1364512905847675e-11,4.883140743460195e-13,3.185282698019369e-11,-10.496852017412929,4.185282698019369,1.1061506952620589e-19,-0.8067068968671705,-0.5909517599152578
235220267.2605791,162630769.23076928,0.6119153674832963,0.4230769230769232,3.101788370605245e-11,4.94116359248483e-13,3.1512000065300934e-11,-10.501524031298946,4.151200006530093,1.081824595165283e-19,-0.8107152065011813,-0.585440734786833
239072828.5077951,162630769.23076928,0.6219376391982182,0.4230769230769232,3.0677051144322436e-11,4.999744442246401e-13,3.1177025588547075e-11,-10.506165320580756,4.117702558854708,1.0581858869756444e-19,-0.814563546187943,-0.5800743307729819
242925389.75501114,162630769.23076928,0.6319599109131403,0.4230769230769232,3.034194175426636e-11,5.058842743322599e-13,3.084782602859862e-11,-10.510775437045698,4.084782602859862,1.0352172679530146e-19,-0.8182572730483141,-0.574852185438602
246777951.0022272,162630769.23076928,0.6419821826280624,0.4230769230769232,3.0012478721344085e-11,5.118412951621229e-13,3.052432001650621e-11,-10.515354001956984,4.052432001650621,1.0129016944540494e-19,-0.821801580699212,-0.5697737813907169
250630512.24944323,162630769.23076928,0.6520044543429845,0.4230769230769232,2.9688582403461284e-11,5.178404214118845e-13,3.020642282487317e-11,-10.519900702710952,4.020642282487317,9.912224151931136e-20,-0.8252015161988785,-0.5648384350086951
254483073.49665928,162630769.23076928,0.6620267260579066,0.4230769230769232,2.937017080405463e-11,5.238760056571402e-13,2.9894046809711775e-11,-10.52441528977292,3.9894046809711776,9.701629974031693e-20,-0.8284619977951136,-0.560045282284682
258335634.74387532,162630769.23076928,0.6720489977728287,0.4230769230769232,2.9057160001225668e-11,5.299418077438763e-13,2.9587101808969545e-11,-10.52889757387337,3.9587101808969543,9.497073463831532e-20,-0.8315878334130966,-0.5553932618598393
262188195.9910913,162630769.23076928,0.6820712694877505,0.4230769230769232,2.8749464536283275e-11,5.360309652966706e-13,2.9285495501579945e-11,-10.533347423444749,3.9285495501579946,9.298397188643566e-20,-0.8345837398024453,-0.5508810953893448
266040757.23830736,162630769.23076928,0.6920935412026726,0.4230769230769232,2.8446997764856874e-11,5.42135965910982e-13,2.8989133730767858e-11,-10.53776476227758,3.8989133730767858,9.105447305877698e-20,-0.8374543622388159,-0.5465072654294525
269893318.4855234,162630769.23076928,0.7021158129175947,0.4230769230769232,2.8149672173547164e-11,5.482486216743097e-13,2.8697920795221475e-11,-10.542149567373068,3.8697920795221474,8.918073584470594e-20,-0.8402042946446703,-0.5422699911120402
273745879.73273945,162630769.23076928,0.7121380846325168,0.4230769230769232,2.785739966489061e-11,5.543600467381942e-13,2.8411759711628802e-11,-10.546501866967565,3.84117597116288,8.736129375295151e-20,-0.8428380999577688,-0.5381672019545397
277598440.9799555,162630769.23076928,0.7221603563474388,0.4230769230769232,2.757009181322929e-11,5.604606387386632e-13,2.813055245196795e-11,-10.550821738702725,3.813055245196795,8.559471533731464e-20,-0.8453603305337372,-0.5341965102468293
281451002.22717154,162630769.23076928,0.7321826280623609,0.4230769230769232,2.7287660093899857e-11,5.66540064934034e-13,2.785420015883389e-11,-10.555109307913286,3.785420015883389,8.387960297580402e-20,-0.8477755483200587,-0.5303551825622369
285303563.4743875,162630769.23076928,0.7422048997772829,0.4230769230769232,2.701001608798547e-11,5.725872539925552e-13,2.7582603341978024e-11,-10.559364746002878,3.7582603341978023,8.221459123604686e-20,-0.8500883444874366,-0.5266401110498604
289156124.7216036,162630769.23076928,0.752227171492205,0.4230769230769232,2.6737071664712645e-11,5.785903944142612e-13,2.7315662059126908e-11,-10.563588268876618,3.731566205912691,8.059834486250448e-20,-0.852303358148042,-0.5230477852831137
293008685.9688196,162630769.23076928,0.762249443207127,0.4230769230769232,2.6468739143421666e-11,5.845369406071397e-13,2.7053276084028807e-11,-10.567780135397907,3.7053276084028806,7.902955642479701e-20,-0.8544252937336587,-0.5195742655560905
296861247.21603566,162630769.23076928,0.772271714922049,0.4230769230769232,2.6204931436894162e-11,5.904136276523342e-13,2.6795345064546498e-11,-10.571940645835763,3.6795345064546496,7.75069436715101e-20,-0.8564589365521659,-0.5162151586305203
300713808.4632517,162630769.23076928,0.7822939866369711,0.4230769230769232,2.5945562177685474e-11,5.962064957813572e-13,2.654176867346683e-11,-10.576070140268364,3.654176867346683,7.602924664028737e-20,-0.858409165990183,-0.5129655970374998
304566369.71046776,162630769.23076928,0.7923162583518932,0.4230769230769232,2.569054582898127e-11,6.019009255448328e-13,2.6292446754526102e-11,-10.58016899690829,3.62924467545261,7.459522458219962e-20,-0.860280965790438,-0.5098202231166113
308418930.95768374,162630769.23076928,0.8023385300668151,0.4230769230769232,2.5439797781378466e-11,6.07481684571868e-13,2.6047279465950334e-11,-10.584237630315535,3.6047279465950335,7.320365276622514e-20,-0.8620794308044989,-0.5067731790296239
312271492.2048998,162630769.23076928,0.8123608017817372,0.4230769230769232,2.519323443687855e-11,6.129329866970782e-13,2.580616742357563e-11,-10.588276489465613,3.580616742357563,7.18533192380504e-20,-0.8638097696160055,-0.5038181039978055
316124053.45211583,162630769.23076928,0.8223830734966593,0.4230769230769232,2.4950773281277706e-11,6.182385640646818e-13,2.5569011845342387e-11,-10.59228605564232,3.556901184534239,7.05430216151843e-20,-0.8654773024453909,-0.500948139982423
