catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_original,stam_mu_des,lcdm_mu,z_bin,mu_corrected_catalog_linear_z,raw_resid_to_stam_union,corrected_resid_to_stam_union,corrected_resid_to_lcdm
DES,2008051,0.03873,36.12057,0.1044,91.74850633431686,36.10394703574454,36.120388284452446,36.25092000121827,36.16220560246641,0.00-0.05,35.64199720714167,0.01662296425546117,-0.4619498286028687,-0.5202083953247367
DES,2005na,0.02748,35.27905,0.0994,101.21088705269847,35.347082953943655,35.36361276840899,35.494824216543556,35.39901811334716,0.00-0.05,34.79249684043904,-0.06803295394365705,-0.5545861135046124,-0.6065212729081182
DES,PS15ahs,0.02534,35.30465,0.1105,81.89840502856207,35.1687976504586,35.185344420225974,35.3166859708085,35.219503464637754,0.00-0.05,34.81657879735072,0.1358523495414019,-0.35221885310787826,-0.40292466728703147
DES,ASASSN-16bc,0.03298,35.83813,0.0862,134.58153218382762,35.748985464415185,35.76547186116568,35.89635011369364,35.80404114322722,0.00-0.05,35.355478353049214,0.08914453558481483,-0.3935071113659703,-0.44856279017800205
DES,ASASSN-15pn,0.03909,36.37011,0.1167,73.4274232334647,36.12441158986658,36.140850020138515,36.27136010180364,36.18286868000865,0.00-0.05,35.89179257887615,0.2456984101334143,-0.23261901099043314,-0.2910761011325036
DES,2004ef,0.03012,35.5473,0.1369,53.357208905745026,35.54902782862875,35.56553677408694,35.696588076797866,35.60246782288381,0.00-0.05,35.062619566491925,-0.0017278286287520928,-0.48640826213682686,-0.5398482563918847
DES,2004gs,0.02857,35.54768,0.167,35.856430850873096,35.43268787283594,35.449209064539296,35.580354344595705,35.48524591477975,0.00-0.05,35.061900049301784,0.11499212716405793,-0.3707878235341582,-0.4233458654779696
DES,2002hd,0.03134,36.00315,0.1791,31.175169850119133,35.63651930634761,35.65301862558687,35.78399605373377,35.69065035459377,0.00-0.05,35.51933499292545,0.36663069365238954,-0.11718431342215752,-0.17131536166832007
DES,PS15aii,0.04777,36.71031,0.077,168.66250632484397,36.56885003737411,36.58522080334666,36.71521140182424,36.63202298127964,0.00-0.05,36.238149875140934,0.14145996262588767,-0.3307001622331782,-0.39387310613870596
DES,2007O,0.03818,36.04309,0.0932,115.12461087881522,36.07231813637128,36.088763692889714,36.219328477140024,36.130272948883345,0.00-0.05,35.564127055880654,-0.0292281363712803,-0.5081910804906258,-0.566145893002691
DES,2006az,0.03201,35.60595,0.0962,108.05624111237418,35.6831506028854,35.699644640368476,35.830581533487404,35.737659995300845,0.00-0.05,35.122610268097965,-0.07720060288539798,-0.5605403347874329,-0.6150497272028801
DES,ASASSN-16fs,0.02944,35.4407,0.1101,82.49456979494325,35.49873307218202,35.51524738795047,35.646339902839244,35.551786693743956,0.00-0.05,34.95553719766012,-0.05803307218202036,-0.5431958745218992,-0.5962494960838356
DES,SN2017hn,0.02557,35.20203,0.122,67.18624025799517,35.18865852776005,35.20520347356047,35.33653102879252,35.23949687790402,0.00-0.05,34.71412195151442,0.013371472239953164,-0.47453657624562595,-0.5253749263895955
DES,2007ob,0.03243,35.74894,0.1845,29.376987536813036,35.71189434226439,35.72838507051981,35.859296566416134,35.766640483709374,0.00-0.05,35.2658982017882,0.03704565773561086,-0.44599614047618985,-0.5007422819211769
DES,ASASSN-15np,0.03884,36.17443,0.1262,62.78867091452955,36.11021984592251,36.126660233339116,36.2571853386185,36.16853909754104,0.00-0.05,35.695935237393876,0.06421015407749309,-0.41428460852863225,-0.47260386014716715
DES,PSNJ0859349,0.02938,35.55198,0.1347,55.11436506322446,35.49424043585347,35.51075522564058,35.64185137814284,35.547259924579706,0.00-0.05,35.06677463570438,0.05773956414653014,-0.4274658001490934,-0.4804852888753288
DES,2007R,0.03174,35.84381,0.1068,87.67130973923044,35.66447563340419,35.68097179894934,35.811925024060116,35.71883265835731,0.00-0.05,35.3602787392971,0.17933436659581048,-0.3041968941070863,-0.3585539190602063
DES,AT2016hns,0.0374,36.13761,0.1017,96.68477572515998,36.02668643843491,36.04313810808415,36.17374981678684,36.084209528950424,0.00-0.05,35.65809375045594,0.11092356156509453,-0.3685926879789676,-0.42611577849448423
