catalog,cid,z,mu_obs,muerr,weight,stam_mu_union,stam_mu_des,stam_mu_original,lcdm_mu,mu_cal_linear_z_to_union,resid_calibrated_to_STAM_union,resid_raw_to_STAM_union
DES,1340700,0.3255,41.0611,0.1836,29.665703124629175,41.005448576041445,41.13521999899168,41.01991415393695,41.160478468130556,40.93589513397927,-0.06955344206217262,0.055651423958558155
DES,1891147,0.32274,41.12372,0.141,50.29928072028571,40.98443638601668,41.11435414687507,40.99891871308195,41.13901484316422,40.998692735264235,0.014256349247553146,0.13928361398331646
DES,1318661,0.34451,41.44891,0.1724,33.645383045956905,41.145988924303026,41.27476130710437,41.160340183319796,41.30392535848408,41.322481872954874,0.17649294865184828,0.3029210756969718
DES,1332819,0.3418,41.15902,0.1509,43.91587299705192,41.12638419369465,41.25529805479109,41.140751639059864,41.283927644296895,41.03276625682526,-0.09361793686938569,0.03263580630535046
DES,1313057,0.33754,41.43363,0.2215,20.382269463793445,41.09528400594316,41.22442089436301,41.10967696947215,41.252195463212,41.30765038054773,0.21236637460457075,0.3383459940568443
DES,1249805,0.34273,40.60507,338.1609,8.744867199960106e-06,41.13312760541247,41.26199287988325,41.147489491939496,41.29080670863763,40.478756412914024,-0.654371192498445,-0.5280576054124708
DES,1314071,0.32707,40.96772,0.1501,44.3852443918134,41.01733002137955,41.14701834843941,41.031786088943235,41.17261333653454,40.84241410716137,-0.17491591421818242,-0.04961002137955006
DES,1310396,0.3225,41.21681,0.1051,90.53042682380334,40.98260163446296,41.1125321359603,40.99708541981097,41.1371404781935,41.09179817885424,0.10919654439128124,0.23420836553704305
DES,1249090,0.3862,41.59525,0.1662,36.20244989218911,41.43147558471546,41.55810999419103,41.44558235463898,41.59459891828784,41.466139192675726,0.034663607960268905,0.16377441528454284
DES,1251552,0.35484,41.5652,0.1302,58.98995047203758,41.219478490593815,41.34771442210629,41.23376838339745,41.37884906368422,41.43810715510207,0.2186286645082518,0.3457215094061823
DES,1263291,0.39362,41.6875,0.3134,10.181271429031039,41.47939549612241,41.60565681060003,41.49345962241033,41.6432788813441,41.557911728351634,0.07851623222922655,0.2081045038775926
DES,1923155,0.39201,41.5727,0.279,12.846700325021514,41.46906604765748,41.59540812977903,41.48313940489371,41.632788567501876,41.4432153291012,-0.02585071855627774,0.10363395234251982
DES,1335885,0.39932,41.77158,0.2252,19.718016588372993,41.51566805651612,41.64164425177181,41.529699598909204,41.68010308064646,41.64162494308919,0.12595688657307136,0.2559119434838806
DES,1645158,0.36048,41.30285,0.1706,34.359113205031825,41.258801846200235,41.386746767265805,41.27305845509463,41.41891329333552,41.175394230737126,-0.08340761546310915,0.04404815379976412
DES,1262135,0.38328,41.50629,0.1276,61.41842159569973,41.41239400057525,41.53917583996767,41.42651762308353,41.575205074284256,41.37736708968736,-0.03502691088788623,0.09389599942475257
