catalog,cid,z,mu_obs,muerr,weight,observed_distance_mly,lcdm_mu,stam_adjusted_union_mu,stam_adjusted_des_mu,stam_unadjusted_mu_equiv,resid_lcdm_mu,resid_stam_adjusted_union_mu,resid_stam_adjusted_des_mu,resid_stam_unadjusted_mu
DES,2010dt,0.05316,36.98605,0.1032,93.89459768042786,814.0214988618376,36.87259654051996,36.80656288425123,36.95256200551173,36.71147312042228,0.11345345948004137,0.17948711574877052,0.03348799448826867,0.27457687957771526
DES,2007O,0.03818,36.04309,0.0932,115.12461087881522,527.2831280607304,36.13027294923074,36.07231813637128,36.219328477140024,35.98788177705158,-0.0871829492307441,-0.0292281363712803,-0.17623847714002494,0.05520822294842276
DES,2003ic,0.05126,36.49961,0.1333,56.278135550391724,650.6506605935512,36.790602363149844,36.72557125538842,36.87169786416453,36.63182720768488,-0.2909923631498472,-0.2259612553884196,-0.3720878641645342,-0.13221720768488154
DES,2008Y,0.07056,37.36244,0.1087,84.63322920625033,968.0858561006778,37.51421920019787,37.43929652016266,37.58413839275093,37.33195656016273,-0.15177920019787194,-0.0768565201626572,-0.2216983927509304,0.03048343983726909
DES,2005ku,0.04439,36.42577,0.1621,38.05694917989178,628.8975097508245,36.46735571079582,36.406003034760374,36.552592476096756,36.31713815943782,-0.04158571079582174,0.019766965239625733,-0.12682247609675557,0.10863184056218245
DES,2006py,0.05653,36.96139,0.1189,70.7353148181289,804.8294787605677,37.011300880569,36.943504630488945,37.089278175707165,36.846031909046125,-0.04991088056900139,0.017885369511056126,-0.12788817570716304,0.11535809095387606
DES,2005eu,0.03516,35.99892,0.1263,62.68928245220413,516.6659904627243,35.94652177603557,35.890244669454475,36.03746057392577,35.80796819287047,0.05239822396443117,0.10867533054552325,-0.03854057392577204,0.19095180712952953
DES,2002hu,0.03705,36.05504,0.0933,114.87795939983161,530.192860211223,36.063234898809135,36.00590588943989,36.15299307915288,35.922277218826544,-0.00819489880913693,0.049134110560110855,-0.09795307915288021,0.1327627811734544
DES,2009do,0.04099,36.20463,0.0963,107.8319417621249,568.0046290128564,36.288944962343884,36.22944400102325,36.376263587364974,36.14300162138123,-0.08431496234388192,-0.02481400102325182,-0.17163358736497258,0.061628378618770796
DES,2007cq,0.0251,34.98002,0.1331,56.44739300537774,323.16913444060697,35.19844984993614,35.14788243948015,35.295787270554314,35.07283045843825,-0.21842984993613612,-0.167862439480146,-0.31576727055431064,-0.09281045843824387
DES,2006S,0.03393,36.02516,0.1264,62.59012978689312,522.9472397884182,35.86722922701915,35.8116402024513,35.95893999479451,35.73024458772387,0.15793077298084768,0.21351979754869888,0.0662200052054871,0.2949154122761328
DES,2007kh,0.05032,36.64724,0.1981,25.48185551736958,696.4242337951159,36.748943933157584,36.684411180195795,36.830600944133025,36.59133349799704,-0.1017039331575873,-0.03717118019579857,-0.18336094413302817,0.055906502002954994
DES,2006qo,0.02898,35.52838,0.1771,31.883271516983736,416.0081845767308,35.516848002479975,35.46405623636768,35.611694595395136,35.38621244843292,0.011531997520023651,0.0643237636323164,-0.0833145953951373,0.14216755156707706
DES,2007hu,0.03551,36.00256,0.2289,19.085714133028574,517.5327946366519,35.96859002344946,35.91211762758622,36.0593096789914,35.82959062361644,0.033969976550544345,0.09044237241378283,-0.0567496789913946,0.1729693763835627
DES,2006lu,0.05346,36.98406,0.0783,163.10845570545226,813.2758477821851,36.88528344379687,36.819092071815135,36.9650710838077,36.72378997224058,0.09877655620312709,0.16496792818486483,0.018988916192299143,0.2602700277594181
