x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,grad_A_x,g_stam_x_m_s2,g_newton_x_m_s2,ratio_STAM_to_newton_x,abs_error_x_m_s2
9583298.318063613,0.02493053672753281,9583298.318063613,374816701.6819364,9.258702645350242e-10,-9.65817680373905e-17,-4.340168209758137,-4.340168209758137,1.0,0.0
9658539.25265053,0.025126272769642376,9658539.25265053,374741460.7473495,9.186599723684532e-10,-9.508285457803287e-17,-4.272810398054339,-4.272810398054339,1.0,0.0
9733780.187237447,0.025322008811751943,9733780.187237447,374666219.81276256,9.115611504878514e-10,-9.361856584888096e-17,-4.207008544129777,-4.207008544129777,1.0,0.0
9809021.121824365,0.02551774485386151,9809021.121824365,374590978.8781756,9.045712337667156e-10,-9.21878435671955e-17,-4.142715091129829,-4.142715091129828,1.0000000000000002,8.881784197001252e-16
9884262.056411281,0.025713480895971075,9884262.056411281,374515737.94358873,8.976877351835203e-10,-9.078966957561076e-17,-4.0798842853442325,-4.079884285344232,1.0000000000000002,8.881784197001252e-16
9959502.9909982,0.025909216938080643,9959502.9909982,374440497.0090018,8.909082428714236e-10,-8.942306403023202e-17,-4.018472094784253,-4.018472094784253,1.0,0.0
10034743.925585117,0.02610495298019021,10034743.925585117,374365256.0744149,8.842304173007028e-10,-8.808708368347488e-17,-3.9584361320173236,-3.958436132017323,1.0000000000000002,4.440892098500626e-16
10109984.860172033,0.026300689022299775,10109984.860172033,374290015.13982797,8.776519885870035e-10,-8.678082025602547e-17,-3.899735581006591,-3.899735581006591,1.0,0.0
10185225.794758951,0.026496425064409343,10185225.794758951,374214774.205241,8.711707539188955e-10,-8.550339889267558e-17,-3.8423311277196026,-3.8423311277196026,1.0,0.0
10260466.72934587,0.02669216110651891,10260466.72934587,374139533.27065414,8.647845750986147e-10,-8.42539766971296e-17,-3.786184894285819,-3.786184894285819,1.0,0.0
10335707.663932787,0.02688789714862848,10335707.663932787,374064292.3360672,8.584913761902201e-10,-8.30317413412014e-17,-3.731260376497034,-3.7312603764970333,1.0000000000000002,4.440892098500626e-16
10410948.598519703,0.027083633190738043,10410948.598519703,373989051.4014803,8.522891412697313e-10,-8.183590974411544e-17,-3.6775223844581273,-3.6775223844581264,1.0000000000000002,8.881784197001252e-16
10486189.533106621,0.02727936923284761,10486189.533106621,373913810.4668934,8.461759122721283e-10,-8.066572681790296e-17,-3.6249369862079837,-3.624936986207983,1.0000000000000002,4.440892098500626e-16
10561430.46769354,0.027475105274957178,10561430.46769354,373838569.53230643,8.401497869303793e-10,-7.952046427513963e-17,-3.5734714541418917,-3.5734714541418917,1.0,0.0
10636671.402280457,0.027670841317066746,10636671.402280457,373763328.59771955,8.342089168019416e-10,-7.839941949550922e-17,-3.5230942140774566,-3.5230942140774566,1.0,0.0
10711912.336867373,0.02786657735917631,10711912.336867373,373688087.6631326,8.283515053784338e-10,-7.730191444789957e-17,-3.473774796816008,-3.473774796816007,1.0000000000000002,8.881784197001252e-16
10787153.27145429,0.028062313401285875,10787153.27145429,373612846.7285457,8.225758062744181e-10,-7.622729466494282e-17,-3.4254837920607373,-3.4254837920607373,1.0,0.0
10862394.20604121,0.028258049443395446,10862394.20604121,373537605.7939588,8.168801214914597e-10,-7.51749282671043e-17,-3.3781928045614387,-3.3781928045614387,1.0,0.0
10937635.140628126,0.02845378548550501,10937635.140628126,373462364.8593719,8.112627997538344e-10,-7.414420503360244e-17,-3.3318744123637307,-3.3318744123637307,1.0,0.0
11012876.075215044,0.028649521527614578,11012876.075215044,373387123.92478496,8.057222349124598e-10,-7.313453551760843e-17,-3.286502127048115,-3.286502127048115,1.0,0.0
11088117.009801961,0.028845257569724145,11088117.009801961,373311882.990198,8.002568644138111e-10,-7.214535020333134e-17,-3.242050355851268,-3.2420503558512674,1.0000000000000002,4.440892098500626e-16
11163357.944388878,0.02904099361183371,11163357.944388878,373236642.05561113,7.948651678307518e-10,-7.117609870273644e-17,-3.198494365568363,-3.1984943655683624,1.0000000000000002,4.440892098500626e-16
11238598.878975796,0.029236729653943277,11238598.878975796,373161401.1210242,7.895456654523807e-10,-7.022624898978212e-17,-3.1558102481413943,-3.155810248141394,1.0000000000000002,4.440892098500626e-16
