body,r_m,r_body_radii,A_Rs_over_r,abs_grad_A_analytic,dA_dr_numeric,abs_grad_A_numeric,g_newton_m_s2,g_from_A_gradient_analytic_m_s2,g_from_A_gradient_numeric_m_s2,ratio_grad_g_to_newton,ratio_numeric_grad_g_to_newton
Earth,7062404.566119561,1.1085237115240247,1.2559607409632976e-09,1.77837552239433e-16,-1.7783755225871737e-16,1.7783755225871737e-16,7.991621052453487,7.991621052453487,7.991621053320084,1.0,1.0000000001084381
Earth,7077903.110403746,1.1109563821070076,1.2532105531097218e-09,1.7705958015554618e-16,-1.7705958017390926e-16,1.7705958017390926e-16,7.956660730488189,7.956660730488189,7.956660731313385,1.0,1.0000000001037113
Earth,7093435.666457235,1.1133943912191548,1.2504663873657445e-09,1.762850114055212e-16,-1.7628501142340051e-16,1.7628501142340051e-16,7.921853346719556,7.921853346719557,7.921853347523013,1.0000000000000002,1.0000000001014229
Earth,7109002.3089193525,1.115837750575946,1.2477282305446957e-09,1.7551383110105704e-16,-1.7551383111792207e-16,1.7551383111792207e-16,7.8871982321007055,7.887198232100706,7.887198232858584,1.0000000000000002,1.0000000000960896
Earth,7124603.112593164,1.1182864719185628,1.2449960694887916e-09,1.7474602441898642e-16,-1.7474602443654925e-16,1.7474602443654925e-16,7.852694720511721,7.852694720511722,7.8526947213009555,1.0000000000000002,1.000000000100505
Earth,7140238.152445949,1.1207405670139614,1.2422698910690495e-09,1.7398157660098488e-16,-1.739815766191467e-16,1.739815766191467e-16,7.818342148746574,7.8183421487465745,7.818342149562726,1.0000000000000002,1.0000000001043894
Earth,7155907.503609446,1.1232000476549122,1.2395496821852453e-09,1.7322047295329283e-16,-1.7322047297047578e-16,1.7322047297047578e-16,7.784139856500638,7.784139856500639,7.784139857272802,1.0000000000000002,1.000000000099197
Earth,7171611.241380328,1.1256649256600735,1.2368354297658305e-09,1.7246269884642762e-16,-1.724626988627981e-16,1.724626988627981e-16,7.750087186357749,7.75008718635775,7.750087187093403,1.0000000000000002,1.0000000000949218
Earth,7187349.441220467,1.1281352128740334,1.2341271207678874e-09,1.717082397149071e-16,-1.7170823973125413e-16,1.7170823973125413e-16,7.716183483777782,7.716183483777783,7.716183484512381,1.0000000000000002,1.0000000000952023
Earth,7203122.178757332,1.1306109211673727,1.2314247421770586e-09,1.7095708105696761e-16,-1.709570810736035e-16,1.709570810736035e-16,7.682428097083976,7.682428097083977,7.682428097831557,1.0000000000000002,1.0000000000973104
Earth,7218929.5297844075,1.13309206243673,1.2287282810074757e-09,1.7020920843428313e-16,-1.7020920844996556e-16,1.7020920844996556e-16,7.648820377450318,7.648820377450319,7.648820378155052,1.0000000000000002,1.0000000000921363
Earth,7234771.570261444,1.1355786486048414,1.226037724301717e-09,1.6946460747169262e-16,-1.6946460748828158e-16,1.6946460748828158e-16,7.615359678889287,7.615359678889287,7.615359679634757,1.0,1.0000000000978904
Earth,7250648.376314948,1.1380706916206167,1.2233530591307228e-09,1.6872326385691825e-16,-1.6872326387543708e-16,1.6872326387543708e-16,7.5820453582391885,7.58204535823919,7.582045359071385,1.0000000000000002,1.0000000001097589
Earth,7266560.024238428,1.1405682034591789,1.2206742725937548e-09,1.679851633402956e-16,-1.6798516335704097e-16,1.6798516335704097e-16,7.548876775152043,7.548876775152044,7.548876775904543,1.0000000000000002,1.0000000000996838
Earth,7282506.590492878,1.1430711961219397,1.2180013518183131e-09,1.6725029173449456e-16,-1.6725029175139812e-16,1.6725029175139812e-16,7.515853292081027,7.515853292081027,7.515853292840635,1.0,1.0000000001010674
Earth,7298488.151707026,1.1455796816366388,1.2153342839600956e-09,1.6651863491425192e-16,-1.6651863493213439e-16,1.6651863493213439e-16,7.482974274268467,7.482974274268468,7.482974275072066,1.0000000000000002,1.0000000001073903
Earth,7314504.784677826,1.1480936720574204,1.2126730562029146e-09,1.6579017881609436e-16,-1.6579017883365847e-16,1.6579017883365847e-16,7.450239089733391,7.450239089733392,7.450239090522683,1.0000000000000002,1.000000000105942
Earth,7330556.5663707,1.150613179464872,1.2100176557586565e-09,1.6506490943807376e-16,-1.6506490945514577e-16,1.6506490945514577e-16,7.4176471092596294,7.4176471092596294,7.417647110026808,1.0,1.0000000001034262
Earth,7346643.573920035,1.1531382159661019,1.2073680698672e-09,1.6434281283949241e-16,-1.6434281285601683e-16,1.6434281285601683e-16,7.385197706383468,7.385197706383468,7.385197707126038,1.0,1.0000000001005485
Earth,7362765.884629428,1.1556687936947776,1.2047242857963745e-09,1.6362387514064071e-16,-1.6362387515709596e-16,1.6362387515709596e-16,7.352890257381862,7.352890257381864,7.352890258121326,1.0000000000000002,1.0000000001005678
Earth,7378923.575972183,1.1582049248112043,1.2020862908418798e-09,1.6290808252252473e-16,-1.629080825389442e-16,1.629080825389442e-16,7.3207241412601975,7.3207241412601975,7.320724141998052,1.0,1.0000000001007898
Earth,7395116.725591556,1.1607466215023632,1.1994540723272433e-09,1.621954212266062e-16,-1.621954212430134e-16,1.621954212430134e-16,7.288698739740593,7.288698739740593,7.288698740477896,1.0,1.0000000001011569
