catalog,z_bin,n,z_mean,observed_distance_mly_weighted_mean,lcdm_distance_mly_weighted_mean,unadjusted_distance_mly_weighted_mean,adjusted_union_distance_mly_weighted_mean,unadjusted_over_lcdm_weighted_mean,adjusted_union_over_lcdm_weighted_mean,unadjusted_fraction_of_observed_weighted_mean,observed_excess_over_unadjusted_fraction_weighted_mean,stam_union_excess_fraction_weighted_mean,rmse_mu_lcdm,rmse_mu_stam_unadjusted,rmse_mu_stam_adjusted_union,rmse_mu_stam_adjusted_des
Union3,0.280-0.320,1,0.3,4744.613880450416,5064.282008114112,4196.852848630123,4725.031197057073,0.8287162606477733,0.9330110743213977,0.8845509780938606,0.11544902190613943,0.11178303939155348,0.14158503311779214,0.26638566472164626,0.008980973829608274,0.12215516746066868
Union3,0.320-0.350,1,0.35,5674.443485895701,6056.551778963575,4931.469435770723,5629.673437796293,0.8142371461099964,0.9295179242667465,0.8690666226614643,0.13093337733853574,0.12402211420257413,0.1415107970560996,0.304734646265409,0.01720035862763325,0.11128636308873041
Union3,0.350-0.400,1,0.4,6717.614460529561,7084.653591621715,5676.1263407310125,6567.783404601147,0.8011861507870446,0.9270436895274855,0.8449616116081115,0.15503838839188852,0.13576225172795317,0.1155177248020891,0.3658151075916578,0.048981265351415004,0.07696100165533437
Union3,0.400-0.500,2,0.475,8136.800545589271,8693.113449606875,6813.1923338108245,8041.883806939684,0.7840807670644148,0.9251100878754683,0.8383001352890271,0.1616998647109729,0.1524481623208675,0.14634979510555476,0.384861508471811,0.03191731403135199,0.10071494551269357
Union3,0.500-0.600,2,0.575,10216.410405060988,10938.431148123545,8362.74805064954,10118.910096943175,0.7647585719909473,0.9250614195724781,0.8190257695624772,0.18097423043752286,0.17328708646225627,0.14908375570136956,0.43416287459019215,0.022070566886975937,0.09790900201163732
Union3,0.600-0.700,2,0.675,12233.108257435259,13292.271971464896,9952.46503876701,12329.807291209187,0.7489027999149434,0.9275513932114535,0.8134137092356577,0.18658629076434233,0.19259784636304017,0.18078535033037418,0.44862842600276437,0.02912415380435027,0.13176079865610218
Union3,0.700-0.800,2,0.775,14399.950182241304,15742.252381040733,11582.343298163238,14674.575389737724,0.7358656340056529,0.9321232272246043,0.8046599670144224,0.19534003298557756,0.21054260475272538,0.19431296625947517,0.4724426273882426,0.042105611589670223,0.15128329193013448
Union3,0.800-1.000,2,0.947207,19091.13215646521,20162.669005734708,14486.817550222284,19038.129515506036,0.7187610934872499,0.9439751120504432,0.760440314389734,0.23955968561026597,0.2385490158421354,0.12903065916081013,0.5979345926518004,0.03390090348367678,0.10612567498608548
Union3,1.000-1.250,2,1.1633295,24663.495399879386,26000.230213101328,18300.71768287265,25076.922587537552,0.704139901590008,0.9639696029491518,0.7434016379639847,0.25659836203601527,0.2694736063525244,0.12222330281512563,0.6459678683933184,0.041771257192608206,0.13588589545955793
Union3,1.250-1.500,1,1.390961,30331.750507134435,32415.65609768969,22506.066855219793,32065.12952277161,0.69429620018778,0.989186503772692,0.7419969661799132,0.2580030338200868,0.29811395774226584,0.14428670579554392,0.6479893521359728,0.12067761738664728,0.2111240313524192
Union3,2.000-2.500,1,2.26226,51624.71594544794,58913.92761780855,40561.98767416653,65344.42999626972,0.6884957312183243,1.109150800811952,0.785708684906442,0.214291315093558,0.37925868086259124,0.28680150889961453,0.523692231563949,0.5117544944160741,0.584239916130052
