x_m,y_m,x_earth_moon_units,y_earth_moon_units,A_total,g_finite_diff_x_m_s2,g_finite_diff_y_m_s2,g_newton_x_m_s2,g_newton_y_m_s2,relative_vector_error
73791071.42857143,-230640000.0,0.19196428571428573,-0.6,3.69114416430606e-11,-0.0020447684209918596,0.006571430305514154,-0.002045065266211395,0.006493694389354756,0.011418218191347178
78939285.7142857,-230640000.0,0.20535714285714282,-0.6,3.667134021767701e-11,-0.002145037468343912,0.006440846047407787,-0.0021453373362755835,0.006366264569019189,0.011101794548174363
84087500.0,-230640000.0,0.21875,-0.6,3.642016289712957e-11,-0.0022381157773229874,0.006306204260826679,-0.0022384164125102838,0.006234818294399702,0.01077621451212551
89235714.28571427,-230640000.0,0.2321428571428571,-0.6,3.615873530334509e-11,-0.0023239845053645465,0.006168176656611665,-0.0023242838108262823,0.006100006154699968,0.010443181623281665
94383928.57142857,-230640000.0,0.24553571428571427,-0.6,3.58878822791636e-11,-0.002402675090365906,0.006027414540989153,-0.002402971145042712,0.0059624597674296596,0.01010434389762337
99532142.85714284,-230640000.0,0.2589285714285714,-0.6,3.560842236399879e-11,-0.0024742650430714264,0.005884543806626622,-0.002474556113903431,0.005822786913991899,0.009761281109076533
104680357.14285713,-230640000.0,0.27232142857142855,-0.6,3.5321162769983573e-11,-0.0025388734487037943,0.005740160763483638,-0.0025391579976675903,0.005681567469216341,0.009415494302457599
109828571.4285714,-230640000.0,0.28571428571428564,-0.6,3.5026894884864555e-11,-0.0025966562985114926,0.00559482879924652,-0.0025969329850612766,0.005539350117803751,0.009068397502827574
114976785.7142857,-230640000.0,0.29910714285714285,-0.6,3.472639031465801e-11,-0.0026478017612867675,0.005449075839400811,-0.0026480694407299207,0.005396649831797178,0.00872131153655492
120125000.0,-230640000.0,0.3125,-0.6,3.442039746717139e-11,-0.0026925254923017656,0.005303392560969425,-0.0026927832106878173,0.005253946067783031,0.008375459835427498
125273214.28571427,-230640000.0,0.3258928571428571,-0.6,3.4109638667109865e-11,-0.0027310660632942916,0.005158231301697692,-0.002731313049415987,0.005111681630601425,0.00803196606460841
130421428.57142857,-230640000.0,0.3392857142857143,-0.6,3.379480778472376e-11,-0.0027636805828253393,0.0050140055978158795,-0.002763916237925394,0.004970262141793548,0.007691853392110731
135569642.85714284,-230640000.0,0.3526785714285714,-0.6,3.3476568352829186e-11,-0.002790640562136119,0.004871090278191517,-0.002790864447887766,0.004830056045589246,0.00735604520420504
140717857.14285713,-230640000.0,0.36607142857142855,-0.6,3.315555214150892e-11,-0.002812228068045642,0.004729822040311857,-0.002812439893333782,0.004691395082604828,0.007025367065282984
145866071.4285714,-230640000.0,0.37946428571428564,-0.6,3.283235815577934e-11,-0.002828732191826504,0.0045905004336872805,-0.00282893179880302,0.004554575161187401,0.006700549722576358
151014285.7142857,-230640000.0,0.39285714285714285,-0.6,3.2507552018864334e-11,-0.0028404458516362707,0.004453389178462395,-0.0028406332014638434,0.004419857558090471,0.006382232960702248
156162500.0,-230640000.0,0.40625,-0.6,3.218166570229425e-11,-0.0028476629361238693,0.004318717750848601,-0.002847838094764003,0.004287470383479466,0.006070970123505086
161310714.28571427,-230640000.0,0.4196428571428571,-0.6,3.185519756368185e-11,-0.0028506757883619465,0.004186683171984584,-0.0028508389126955845,0.004157610249748163,0.005767233132891373
166458928.57142857,-230640000.0,0.4330357142857143,-0.6,3.152861265354677e-11,-0.0028497730222450737,0.004057451942630453,-0.0028499243467595744,0.004030444088915642,0.00547141784986984
171607142.85714284,-230640000.0,0.4464285714285714,-0.6,3.120234325379953e-11,-0.0028452376579178266,0.003931162072367849,-0.002845377482137535,0.0039061110691486762,0.005183849640828296
176755357.14285713,-230640000.0,0.45982142857142855,-0.6,3.08767896122976e-11,-0.0028373455585337486,0.003807925158409713,-0.0028374742353209866,0.003784724566945971,0.00490478902756895
181903571.4285714,-230640000.0,0.47321428571428564,-0.6,3.055232084010604e-11,-0.002826364147577072,0.003687828475512385,-0.0028264820723854383,0.0036663741575060846,0.004634437316636921
187051785.71428567,-230640000.0,0.48660714285714274,-0.6,3.0229275940603725e-11,-0.002812551383952247,0.0035709370446454854,-0.0028126589850818637,0.003551127591605749,0.004372942120839084
192200000.0,-230640000.0,0.5,-0.6,2.990796494226366e-11,-0.0027961549709386293,0.0034572956538590485,-0.0027962527008042522,0.003439032732809741,0.0041204026986034195
197348214.28571427,-230640000.0,0.5133928571428571,-0.6,2.9588670109705494e-11,-0.002777411774725871,0.003346930810135727,-0.0027775001021289737,0.0033301194339253734,0.003876875051852103
202496428.57142854,-230640000.0,0.5267857142857142,-0.6,2.927164721039396e-11,-0.002756547428493982,0.003239852605851685,-0.0027566268318690913,0.0032244013362469266,0.0036423767356554924
207644642.85714287,-230640000.0,0.5401785714285714,-0.6,2.8957126817075245e-11,-0.002733776098727526,0.003136056487765958,-0.0027338470603143388,0.0031218775792779705,0.0034168913425731097
212792857.14285713,-230640000.0,0.5535714285714286,-0.6,2.8645315628656473e-11,-0.0027093003915311543,0.0030355249202301893,-0.0027093633924186377,0.003022534412265138,0.0032003726354481684
217941071.4285714,-230640000.0,0.5669642857142857,-0.6,2.833639779470564e-11,-0.00268331137807386,0.002938228937553901,-0.002683366894050289,0.0029263467020357956,0.0029927483100786745
223089285.71428567,-230640000.0,0.5803571428571428,-0.6,2.803053623105574e-11,-0.0026559887198064247,0.0028441295832161346,-0.002656037217948646,0.0028332793343266776,0.0027939233768986714
