x_m_from_earth,x_earth_moon_units,distance_to_earth_m,distance_to_moon_m,A_total,dA_dx_analytic,dA_dx_numeric,accel_newton_x_m_s2,accel_from_A_gradient_x_analytic_m_s2,accel_from_A_gradient_x_numeric_m_s2,ratio_A_accel_to_newton,ratio_A_numeric_accel_to_newton
13271979.659886628,0.03452648194559477,13271979.659886628,371128020.3401134,6.686268894762946e-10,-5.035590595612287e-17,-5.0360407077781744e-17,-2.262881562902479,-2.2628815629024794,-2.2630838332225314,1.0000000000000002,1.0000893861717592
13397452.017339114,0.034852892865086145,13397452.017339114,371002547.9826609,6.623677893078687e-10,-4.941710205023862e-17,-4.942143689965798e-17,-2.2206938192908883,-2.2206938192908883,-2.220888617709123,1.0,1.0000877196201217
13522924.374791598,0.035179303784577516,13522924.374791598,370877075.6252084,6.562248410833159e-10,-4.850430876185438e-17,-4.8508484946342815e-17,-2.179674934538311,-2.179674934538311,-2.179862602910128,1.0,1.0000860992475729
13648396.732244082,0.035505714704068894,13648396.732244082,370751603.2677559,6.501948413825367e-10,-4.7616574018640515e-17,-4.762059873163597e-17,-2.139782124647908,-2.1397821246479083,-2.139962986230288,1.0000000000000002,1.0000845233635223
13773869.089696566,0.035832125623560265,13773869.089696566,370626130.9103034,6.442747035110017e-10,-4.6752988914105914e-17,-4.675686896121195e-17,-2.100974545398885,-2.1009745453988855,-2.1011489060204003,1.0000000000000002,1.0000829903541177
13899341.44714905,0.036158536543051636,13899341.44714905,370500658.55285096,6.384614522312164e-10,-4.591268538021194e-17,-4.591642720337372e-17,-2.0632131877589828,-2.0632131877589828,-2.063381336906211,1.0,1.000081498677997
14024813.804601535,0.036484947462543015,14024813.804601535,370375186.19539845,6.327522187769963e-10,-4.509483400508249e-17,-4.5098443705057773e-17,-2.0264607798172514,-2.026460779817252,-2.0266229916445755,1.0000000000000002,1.0000800468624607
14150286.162054017,0.036811358382034386,14150286.162054017,370249713.837946,6.27144236132993e-10,-4.4298641985563304e-17,-4.4302125342818796e-17,-1.990681694776662,-1.990681694776662,-1.9908382290453002,1.0,1.000078633499795
14275758.519506503,0.037137769301525764,14275758.519506503,370124241.4804935,6.216348345631585e-10,-4.352335120519092e-17,-4.352671369935014e-17,-1.9558418645823323,-1.9558418645823328,-1.9559929675342862,1.0000000000000002,1.0000772572438958
14401230.876958987,0.037464180221017135,14401230.876958987,369998769.12304103,6.162214373729592e-10,-4.2768236428868676e-17,-4.2771483256824704e-17,-1.9219086987943166,-1.921908698794317,-1.9220546039663144,1.0000000000000002,1.0000759168071247
