trial,correction_mode,model,n_test,z_min,z_max,weighted_mean_resid,weighted_rmse,weighted_mae,mean_resid,median_resid,alpha,beta_z,gamma_z2
220,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.0251,0.97242,0.005294394260667634,0.15567535467735558,0.12011150487298244,0.06000213103560587,0.033715899882956535,,,
220,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.0251,0.97242,-0.002021561636247281,0.15160095750318936,0.11743027593019338,0.03603661271119105,0.008006229910442642,,,
221,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02517,0.99268,-0.06742101267760589,0.2718187301635645,0.18680846472112914,0.005868327624263306,0.02314721715487522,,,
221,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02517,0.99268,-0.08162857910057456,0.27639459077306217,0.18776659319370173,-0.00792379521045485,0.009587125090185111,,,
221,catalog_bin_median_delta,STAM b=1335.412792 DES-style,450,0.02517,0.99268,-0.19490573746703294,0.3329766756771344,0.2319492645062766,-0.11798585950125513,-0.09613691679200898,,,
221,catalog_bin_median_delta,LCDM fixed H0=70 Om=0.3,450,0.02517,0.99268,-0.20498643922294238,0.31341254895266335,0.23196303702355384,-0.14202675521761468,-0.13535066532278606,,,
221,catalog_linear_z_delta,STAM b=354.95 union-style,450,0.02517,0.99268,-0.06907282979166217,0.23523352727544092,0.18970640411881906,0.018459920517402712,0.0006767205003903598,0.4711058167579324,-0.6598771030889283,
221,catalog_linear_z_delta,STAM b=461.3626922 original,450,0.02517,0.99268,-0.08328039621463086,0.24081598713447752,0.19462893454722052,0.004667797682684554,-0.012997267831451609,0.4711058167579324,-0.6598771030889283,
221,catalog_linear_z_delta,STAM b=1335.412792 DES-style,450,0.02517,0.99268,-0.19655755458108923,0.30601182211670863,0.25079722178776054,-0.10539426660811572,-0.12182865307318025,0.4711058167579324,-0.6598771030889283,
221,catalog_linear_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02517,0.99268,-0.20663825633699867,0.28842840416597826,0.24487001865503188,-0.12943516232447527,-0.16297739810460854,0.4711058167579324,-0.6598771030889283,
221,catalog_quadratic_z_delta,STAM b=354.95 union-style,450,0.02517,0.99268,-0.07161261087721842,0.2698828938246576,0.20631690212440706,0.011663090286707261,0.02468399712727276,0.6585285642922167,-2.4491308685798217,2.429442087852475
221,catalog_quadratic_z_delta,STAM b=461.3626922 original,450,0.02517,0.99268,-0.08582017730018712,0.27477548946554325,0.2086290419786544,-0.002129032548010896,0.011336694682519521,0.6585285642922167,-2.4491308685798217,2.429442087852475
221,catalog_quadratic_z_delta,STAM b=1335.412792 DES-style,450,0.02517,0.99268,-0.19909733566664542,0.33349104918011707,0.2519352410377939,-0.11219109683881118,-0.09621775552994549,0.6585285642922167,-2.4491308685798217,2.429442087852475
221,catalog_quadratic_z_delta,LCDM fixed H0=70 Om=0.3,450,0.02517,0.99268,-0.2091780374225549,0.30972130634753087,0.24544530430547298,-0.13623199255517074,-0.13303016266735668,0.6585285642922167,-2.4491308685798217,2.429442087852475
221,raw_no_catalog_correction,STAM b=354.95 union-style,450,0.02517,0.99268,0.14274080335985873,0.2035792004860134,0.16509506559215764,0.1838626387353741,0.16151771664917902,,,
221,raw_no_catalog_correction,STAM b=461.3626922 original,450,0.02517,0.99268,0.1285332369368901,0.19398811659227036,0.15594808070102273,0.17007051590065594,0.14805069298328632,,,
221,raw_no_catalog_correction,STAM b=1335.412792 DES-style,450,0.02517,0.99268,0.015256078570431727,0.14763511369219667,0.11490342727439243,0.06000845160985568,0.0406088777374336,,,
221,raw_no_catalog_correction,LCDM fixed H0=70 Om=0.3,450,0.02517,0.99268,0.005175376814522276,0.14529781483586007,0.11356865413366898,0.03596755589349612,0.008516437869044324,,,
222,catalog_bin_median_delta,STAM b=354.95 union-style,450,0.02512,0.98846,-0.09767123530858743,0.3015990802841645,0.20754801080376234,0.011856731592746854,0.018243713094719283,,,
222,catalog_bin_median_delta,STAM b=461.3626922 original,450,0.02512,0.98846,-0.11180944955448842,0.3072610604526245,0.2103486989263624,-0.0019375230798039272,0.004887395398377237,,,
